epoch,train_loss,train_auc,train_points_auc,train_accuracy,test_auc,test_points_auc,test_accuracy
0,0.7923292254924774,,tensor(0.5515),tensor(0.5000),,tensor(0.6244),tensor(0.5000)
1,0.7901353979229927,,tensor(0.5510),tensor(0.5000),,tensor(0.5972),tensor(0.5000)
2,0.7922774938344955,,tensor(0.5510),tensor(0.5000),,tensor(0.6296),tensor(0.5000)
3,0.7917656007349492,,tensor(0.5510),tensor(0.5000),,tensor(0.5004),tensor(0.5000)
4,0.7928272916972637,,tensor(0.5510),tensor(0.5000),,tensor(0.6145),tensor(0.5000)
5,0.7929180604934692,,tensor(0.5510),tensor(0.5000),,tensor(0.5921),tensor(0.5000)
6,0.791702128136158,,tensor(0.5510),tensor(0.5000),,tensor(0.5771),tensor(0.5000)
7,0.7917903937876225,,tensor(0.5510),tensor(0.5000),,tensor(0.5982),tensor(0.5000)
8,0.7931847646057606,,tensor(0.5510),tensor(0.5000),,tensor(0.5930),tensor(0.5000)
9,0.7916972410440445,,tensor(0.5511),tensor(0.5000),,tensor(0.5744),tensor(0.5000)
10,0.7921166965842247,,tensor(0.5511),tensor(0.5000),,tensor(0.6014),tensor(0.5000)
11,0.7924876387953759,,tensor(0.5511),tensor(0.5000),,tensor(0.6409),tensor(0.5000)
12,0.7947190135359764,,tensor(0.5511),tensor(0.5000),,tensor(0.5972),tensor(0.5000)
13,0.7927546409010887,,tensor(0.5510),tensor(0.5000),,tensor(0.6236),tensor(0.5000)
14,0.791798916399479,,tensor(0.5510),tensor(0.5000),,tensor(0.6520),tensor(0.5000)
15,0.7911393377602101,,tensor(0.5510),tensor(0.5000),,tensor(0.6307),tensor(0.5000)
16,0.7937168020606041,,tensor(0.5510),tensor(0.5000),,tensor(0.6704),tensor(0.5000)
17,0.7918638193666935,,tensor(0.5510),tensor(0.5000),,tensor(0.6325),tensor(0.5000)
18,0.7918799706101418,,tensor(0.5511),tensor(0.5000),,tensor(0.6459),tensor(0.5000)
19,0.7920863608539105,,tensor(0.5511),tensor(0.5000),,tensor(0.6491),tensor(0.5000)
